,municipality,latitude,longitude
379,Nakkila,61.36100815706832,21.95090890036223
380,Noormarkku,61.61406678046739,22.044341806634492
381,Pomarkku,61.704450399076656,22.050351736006025
382,Pori,61.56435426578156,21.6895059253726
383,Ulvila,61.455135265047154,21.947556142753545
384,Eurajoki,61.23202803538486,21.71699331842883
385,Huittinen,61.163477688967376,22.73393654860506
386,Eura,61.043149754309034,22.08636218157514
387,Kiukainen,61.240565857595655,22.02017976224677
388,Kodisjoki,61.03171484163303,21.697394692344258
389,Lappi,61.08070088298759,21.856391865071625
390,Rauma,61.10662125633772,21.535261658272965
391,Vampula,61.04618718976779,22.70205981372132
392,Köyliö,61.13007122870945,22.37893243852848
393,Kokemäki,61.31834127870417,22.397502869892282
394,Säkylä,61.00391342597608,22.38616590849473
395,Alahärmä,63.25407396536076,22.806375091876074
396,Kauhava,63.117572078312634,23.168963978417633
397,Kortesjärvi,63.281242455132976,23.181538612801155
398,Lapua,62.94480068903437,23.15168221566356
399,Ylihärmä,63.11596427155076,22.75964959925347
400,Lehtimäki,62.83670635804178,23.910817512594555
401,Alajärvi,63.0181672180636,23.912160074947458
402,Evijärvi,63.38453005452005,23.446117962586438
403,Lappajärvi,63.18998692667913,23.597981058282663
404,Vimpeli,63.180703530853656,23.941828410317374
405,Ähtäri,62.57395146551353,24.201295808079355
406,Ylistaro,62.93979974509122,22.604942438255378
407,Alavus,62.56096028662438,23.506151840701815
408,Kuortane,62.783924129944026,23.52016258056773
409,Soini,62.84044440168094,24.23841734525541
410,Töysä,62.6353421152586,23.85977067909381
411,Jokioinen,60.83720942178345,23.462668195706435
412,Ilmajoki,62.72628260880826,22.574842229658206
413,Nurmo,62.76295992704673,23.044585791789206
414,Seinäjoki,62.76280017896045,22.8306040834765
415,Isojoki,62.117998381879026,21.90399730001254
416,Jurva,62.70691195385183,21.91675396745308
417,Karijoki,62.326253708403854,21.74348375481298
418,Kauhajoki,62.34004386582555,22.259104937060368
419,Teuva,62.50630772568738,21.804668789290336
420,Jalasjärvi,62.437235776691516,22.832511060215317
421,Kurikka,62.59334889943285,22.353784986115855
422,Peräseinäjoki,62.51240206476982,23.134038924686692
423,Forssa,60.91553399172003,23.6413419520327
424,Humppila,60.944316173577455,23.35061090516958
425,Tammela,60.785647577441885,23.834343622784797
426,Ypäjä,60.80484377671694,23.270239767482625
427,Hämeenlinna,60.99014420313825,24.494473124403946
428,Hattula,61.032908856467586,24.275903905253653
429,Hauho,61.18493250035443,24.58839816009767
430,Hämeenkoski,61.00170320767401,25.15103621641502
431,Janakkala,60.89076701474242,24.687196411377546
432,Kalvola,61.04594889223314,24.02914449581565
433,Lammi,61.12262341319674,25.02003180632061
434,Renko,60.861467500928654,24.295376297522388
435,Tuulos,61.12010128907124,24.811213013921748
436,Hausjärvi,60.77089617408395,24.953389763774894
437,Loppi,60.690839464970225,24.340122828040897
438,Riihimäki,60.71129728413904,24.741573294450475
